County,2020,2024
".Autauga County, Alabama","58,800","61,464"
".Baldwin County, Alabama","231,767","261,608"
".Barbour County, Alabama","25,226","24,358"
".Bibb County, Alabama","22,284","22,258"
".Blount County, Alabama","59,130","60,163"
".Bullock County, Alabama","10,355","9,901"
".Butler County, Alabama","19,048","18,256"
".Calhoun County, Alabama","116,437","116,427"
".Chambers County, Alabama","34,692","33,813"
".Cherokee County, Alabama","24,984","26,138"
".Chilton County, Alabama","45,012","47,262"
".Choctaw County, Alabama","12,664","12,052"
".Clarke County, Alabama","23,091","22,142"
".Clay County, Alabama","14,235","14,239"
".Cleburne County, Alabama","15,055","15,905"
".Coffee County, Alabama","53,470","56,358"
".Colbert County, Alabama","57,232","58,785"
".Conecuh County, Alabama","11,594","11,109"
".Coosa County, Alabama","10,379","10,291"
".Covington County, Alabama","37,570","37,748"
".Crenshaw County, Alabama","13,201","13,114"
".Cullman County, Alabama","87,861","92,604"
".Dale County, Alabama","49,320","50,067"
".Dallas County, Alabama","38,470","35,545"
".DeKalb County, Alabama","71,627","73,122"
".Elmore County, Alabama","87,980","91,042"
".Escambia County, Alabama","36,768","36,630"
".Etowah County, Alabama","103,415","103,207"
".Fayette County, Alabama","16,322","15,863"
".Franklin County, Alabama","32,111","31,874"
".Geneva County, Alabama","26,662","27,259"
".Greene County, Alabama","7,732","7,127"
".Hale County, Alabama","14,788","15,116"
".Henry County, Alabama","17,141","18,141"
".Houston County, Alabama","107,213","109,366"
".Jackson County, Alabama","52,563","53,780"
".Jefferson County, Alabama","674,311","664,744"
".Lamar County, Alabama","13,971","13,543"
".Lauderdale County, Alabama","93,560","97,502"
".Lawrence County, Alabama","33,058","33,567"
".Lee County, Alabama","174,341","187,847"
".Limestone County, Alabama","103,561","118,942"
".Lowndes County, Alabama","10,319","9,485"
".Macon County, Alabama","19,531","18,159"
".Madison County, Alabama","388,156","423,355"
".Marengo County, Alabama","19,325","18,512"
".Marion County, Alabama","29,334","29,323"
".Marshall County, Alabama","97,609","102,156"
".Mobile County, Alabama","414,810","412,339"
".Monroe County, Alabama","19,768","19,057"
".Montgomery County, Alabama","228,957","225,894"
".Morgan County, Alabama","123,452","126,084"
".Perry County, Alabama","8,511","7,719"
".Pickens County, Alabama","19,125","18,508"
".Pike County, Alabama","33,003","33,124"
".Randolph County, Alabama","21,966","23,067"
".Russell County, Alabama","59,171","58,837"
".St. Clair County, Alabama","91,494","96,927"
".Shelby County, Alabama","223,024","235,969"
".Sumter County, Alabama","12,343","11,607"
".Talladega County, Alabama","82,153","81,375"
".Tallapoosa County, Alabama","41,311","40,699"
".Tuscaloosa County, Alabama","228,135","241,212"
".Walker County, Alabama","65,345","65,260"
".Washington County, Alabama","15,390","15,018"
".Wilcox County, Alabama","10,596","9,865"
".Winston County, Alabama","23,540","23,869"
".Aleutians East Borough, Alaska","3,420","3,632"
".Aleutians West Census Area, Alaska","5,232","5,424"
".Anchorage Municipality, Alaska","291,246","289,600"
".Bethel Census Area, Alaska","18,664","18,237"
".Bristol Bay Borough, Alaska",843,884
".Chugach Census Area, Alaska","7,104","6,604"
".Copper River Census Area, Alaska","2,616","2,631"
".Denali Borough, Alaska","1,624","1,621"
".Dillingham Census Area, Alaska","4,858","4,642"
".Fairbanks North Star Borough, Alaska","95,667","94,951"
".Haines Borough, Alaska","2,079","2,104"
".Hoonah-Angoon Census Area, Alaska","2,356","2,312"
".Juneau City and Borough, Alaska","32,250","31,572"
".Kenai Peninsula Borough, Alaska","58,797","61,259"
".Ketchikan Gateway Borough, Alaska","13,950","13,677"
".Kodiak Island Borough, Alaska","13,097","12,654"
".Kusilvak Census Area, Alaska","8,368","7,946"
".Lake and Peninsula Borough, Alaska","1,476","1,315"
".Matanuska-Susitna Borough, Alaska","107,078","117,613"
".Nome Census Area, Alaska","10,039","9,836"
".North Slope Borough, Alaska","11,037","10,663"
".Northwest Arctic Borough, Alaska","7,794","7,134"
".Petersburg Borough, Alaska","3,401","3,436"
".Prince of Wales-Hyder Census Area, Alaska","5,759","5,746"
".Sitka City and Borough, Alaska","8,452","8,355"
".Skagway Municipality, Alaska","1,242","1,119"
".Southeast Fairbanks Census Area, Alaska","6,811","7,313"
".Wrangell City and Borough, Alaska","2,127","2,064"
".Yakutat City and Borough, Alaska",663,690
".Yukon-Koyukuk Census Area, Alaska","5,345","5,099"
".Apache County, Arizona","66,024","64,800"
".Cochise County, Arizona","125,440","125,773"
".Coconino County, Arizona","145,098","145,161"
".Gila County, Arizona","53,272","54,073"
".Graham County, Arizona","38,539","40,242"
".Greenlee County, Arizona","9,563","9,410"
".La Paz County, Arizona","16,552","16,992"
".Maricopa County, Arizona","4,425,315","4,673,096"
".Mohave County, Arizona","213,261","226,479"
".Navajo County, Arizona","106,715","109,516"
".Pima County, Arizona","1,043,441","1,080,149"
".Pinal County, Arizona","426,007","513,862"
".Santa Cruz County, Arizona","47,663","50,508"
".Yavapai County, Arizona","236,211","252,013"
".Yuma County, Arizona","205,009","220,310"
".Arkansas County, Arkansas","17,144","16,050"
".Ashley County, Arkansas","19,064","17,984"
".Baxter County, Arkansas","41,637","43,007"
".Benton County, Arkansas","284,334","321,566"
".Boone County, Arkansas","37,374","38,636"
".Bradley County, Arkansas","10,542","9,935"
".Calhoun County, Arkansas","4,740","4,690"
".Carroll County, Arkansas","28,257","28,968"
".Chicot County, Arkansas","10,212","9,272"
".Clark County, Arkansas","21,462","20,920"
".Clay County, Arkansas","14,551","14,112"
".Cleburne County, Arkansas","24,720","25,646"
".Cleveland County, Arkansas","7,551","7,367"
".Columbia County, Arkansas","22,796","22,024"
".Conway County, Arkansas","20,713","21,422"
".Craighead County, Arkansas","111,242","115,852"
".Crawford County, Arkansas","60,135","62,258"
".Crittenden County, Arkansas","48,167","46,633"
".Cross County, Arkansas","16,834","16,194"
".Dallas County, Arkansas","6,478","6,076"
".Desha County, Arkansas","11,395","10,321"
".Drew County, Arkansas","17,346","16,935"
".Faulkner County, Arkansas","123,487","131,611"
".Franklin County, Arkansas","17,104","17,586"
".Fulton County, Arkansas","12,071","12,546"
".Garland County, Arkansas","100,173","99,902"
".Grant County, Arkansas","17,959","18,546"
".Greene County, Arkansas","45,732","46,928"
".Hempstead County, Arkansas","20,065","19,105"
".Hot Spring County, Arkansas","33,043","33,313"
".Howard County, Arkansas","12,786","12,387"
".Independence County, Arkansas","37,933","38,345"
".Izard County, Arkansas","13,580","14,291"
".Jackson County, Arkansas","16,761","16,673"
".Jefferson County, Arkansas","67,258","63,672"
".Johnson County, Arkansas","25,750","26,172"
".Lafayette County, Arkansas","6,306","6,015"
".Lawrence County, Arkansas","16,219","16,305"
".Lee County, Arkansas","8,597","8,104"
".Lincoln County, Arkansas","12,937","12,868"
".Little River County, Arkansas","12,022","11,626"
".Logan County, Arkansas","21,135","21,457"
".Lonoke County, Arkansas","74,025","76,389"
".Madison County, Arkansas","16,533","17,865"
".Marion County, Arkansas","16,822","17,593"
".Miller County, Arkansas","42,596","41,958"
".Mississippi County, Arkansas","40,687","38,095"
".Monroe County, Arkansas","6,797","6,415"
".Montgomery County, Arkansas","8,480","8,510"
".Nevada County, Arkansas","8,315","8,004"
".Newton County, Arkansas","7,226","7,026"
".Ouachita County, Arkansas","22,648","21,684"
".Perry County, Arkansas","10,023","10,251"
".Phillips County, Arkansas","16,570","14,661"
".Pike County, Arkansas","10,162","10,027"
".Poinsett County, Arkansas","22,965","22,300"
".Polk County, Arkansas","19,221","19,434"
".Pope County, Arkansas","63,381","64,829"
".Prairie County, Arkansas","8,283","7,935"
".Pulaski County, Arkansas","399,125","401,209"
".Randolph County, Arkansas","18,573","19,040"
".St. Francis County, Arkansas","23,090","21,822"
".Saline County, Arkansas","123,422","131,252"
".Scott County, Arkansas","9,834","9,837"
".Searcy County, Arkansas","7,832","7,836"
".Sebastian County, Arkansas","127,797","130,035"
".Sevier County, Arkansas","15,842","15,735"
".Sharp County, Arkansas","17,276","18,130"
".Stone County, Arkansas","12,352","12,785"
".Union County, Arkansas","39,057","37,008"
".Van Buren County, Arkansas","15,792","16,152"
".Washington County, Arkansas","245,862","266,184"
".White County, Arkansas","76,825","79,091"
".Woodruff County, Arkansas","6,268","5,808"
".Yell County, Arkansas","20,260","20,134"
".Alameda County, California","1,682,296","1,649,060"
".Alpine County, California","1,176","1,099"
".Amador County, California","40,497","42,026"
".Butte County, California","211,632","208,334"
".Calaveras County, California","45,284","46,505"
".Colusa County, California","21,837","22,074"
".Contra Costa County, California","1,165,983","1,172,607"
".Del Norte County, California","27,742","27,009"
".El Dorado County, California","191,185","192,823"
".Fresno County, California","1,008,649","1,024,125"
".Glenn County, California","28,919","28,304"
".Humboldt County, California","136,467","132,380"
".Imperial County, California","179,710","181,724"
".Inyo County, California","19,024","18,485"
".Kern County, California","909,233","922,529"
".Kings County, California","152,484","154,913"
".Lake County, California","68,164","67,764"
".Lassen County, California","32,733","28,340"
".Los Angeles County, California","10,017,401","9,757,179"
".Madera County, California","156,254","165,432"
".Marin County, California","262,325","256,400"
".Mariposa County, California","17,128","17,048"
".Mendocino County, California","91,587","89,175"
".Merced County, California","282,447","296,774"
".Modoc County, California","8,699","8,491"
".Mono County, California","13,196","12,991"
".Monterey County, California","441,012","436,251"
".Napa County, California","138,014","132,727"
".Nevada County, California","102,236","102,195"
".Orange County, California","3,187,256","3,170,435"
".Placer County, California","404,752","433,822"
".Plumas County, California","19,800","18,834"
".Riverside County, California","2,419,967","2,529,933"
".Sacramento County, California","1,585,030","1,611,231"
".San Benito County, California","64,209","69,159"
".San Bernardino County, California","2,181,664","2,214,281"
".San Diego County, California","3,298,647","3,298,799"
".San Francisco County, California","878,392","827,526"
".San Joaquin County, California","779,232","816,108"
".San Luis Obispo County, California","282,448","281,843"
".San Mateo County, California","764,659","742,893"
".Santa Barbara County, California","448,217","444,500"
".Santa Clara County, California","1,936,278","1,926,325"
".Santa Cruz County, California","272,140","262,406"
".Shasta County, California","182,452","181,121"
".Sierra County, California","3,235","3,113"
".Siskiyou County, California","44,079","42,498"
".Solano County, California","453,551","455,101"
".Sonoma County, California","488,862","485,375"
".Stanislaus County, California","553,285","556,972"
".Sutter County, California","99,635","98,545"
