GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
0500000US01001,"Autauga County, Alabama",1539631461,25677536,594.455,9.914,32.5322367,-86.6464395
0500000US01003,"Baldwin County, Alabama",4117725048,1132887203,1589.863,437.41,30.6592183,-87.7460666
0500000US01005,"Barbour County, Alabama",2292160151,50523213,885.008,19.507,31.8702531,-85.4051035
0500000US01007,"Bibb County, Alabama",1612188713,9572302,622.47,3.696,33.0158929,-87.1271475
0500000US01009,"Blount County, Alabama",1670259100,14860281,644.891,5.738,33.9773575,-86.56644
0500000US01011,"Bullock County, Alabama",1613083468,6030667,622.815,2.328,32.1017589,-85.7172613
0500000US01013,"Butler County, Alabama",2012002548,2701199,776.839,1.043,31.751667,-86.6819689
0500000US01015,"Calhoun County, Alabama",1569248377,16534047,605.89,6.384,33.7705162,-85.8279089
0500000US01017,"Chambers County, Alabama",1545068570,16988729,596.554,6.559,32.9155039,-85.3940321
0500000US01019,"Cherokee County, Alabama",1433620850,120310807,553.524,46.452,34.0695153,-85.6542417
0500000US01021,"Chilton County, Alabama",1794438908,20592054,692.837,7.951,32.8540514,-86.7266071
0500000US01023,"Choctaw County, Alabama",2365900084,19114321,913.479,7.38,31.9909539,-88.2488894
0500000US01025,"Clarke County, Alabama",3207494083,36657889,1238.42,14.154,31.6855211,-87.8186244
0500000US01027,"Clay County, Alabama",1564255426,5281616,603.962,2.039,33.2703999,-85.8635254
0500000US01029,"Cleburne County, Alabama",1450666453,2352217,560.105,0.908,33.6719637,-85.5161261
0500000US01031,"Coffee County, Alabama",1758565928,3907189,678.986,1.509,31.402258,-85.9896022
0500000US01033,"Colbert County, Alabama",1535740663,79162005,592.953,30.565,34.703112,-87.8014569
0500000US01035,"Conecuh County, Alabama",2202213383,6426488,850.279,2.481,31.4309257,-86.9887221
0500000US01037,"Coosa County, Alabama",1685846963,39991153,650.909,15.441,32.9314453,-86.2434818
0500000US01039,"Covington County, Alabama",2669165560,34194851,1030.571,13.203,31.2439873,-86.4487206
0500000US01041,"Crenshaw County, Alabama",1576952763,5388562,608.865,2.081,31.7303106,-86.3200384
0500000US01043,"Cullman County, Alabama",1902965941,52529994,734.739,20.282,34.1319229,-86.8692666
0500000US01045,"Dale County, Alabama",1453276164,4051341,561.113,1.564,31.4306536,-85.609476
